time,lr,fb,ud,mag,raw
2026-05-18 16:08:40.769,1.90,0.00,10.20,10.40,A:19;0;102;104
2026-05-18 16:08:41.257,-4.50,2.60,7.20,8.90,A:-45;26;72;89
2026-05-18 16:08:41.792,-0.70,0.60,10.00,10.00,A:-7;6;100;100
2026-05-18 16:08:42.279,0.00,0.80,9.30,9.40,A:0;8;93;94
2026-05-18 16:08:42.765,-0.60,1.10,9.30,9.40,A:-6;11;93;94
2026-05-18 16:08:43.246,-0.60,0.90,9.30,9.30,A:-6;9;93;93
2026-05-18 16:08:43.793,0.20,0.30,9.70,9.70,A:2;3;97;97
2026-05-18 16:08:44.269,0.00,0.40,9.50,9.50,A:0;4;95;95
2026-05-18 16:08:44.760,0.10,0.40,9.20,9.30,A:1;4;92;93
2026-05-18 16:08:45.245,0.10,0.40,9.40,9.40,A:1;4;94;94
2026-05-18 16:08:45.783,0.00,0.40,9.40,9.40,A:0;4;94;94
2026-05-18 16:08:46.272,0.00,0.30,9.40,9.40,A:0;3;94;94
2026-05-18 16:08:46.758,0.00,0.40,9.30,9.30,A:0;4;93;93
2026-05-18 16:08:47.510,0.00,0.40,9.30,9.30,A:0;4;93;93
2026-05-18 16:08:47.780,0.00,0.30,9.60,9.60,A:0;3;96;96
2026-05-18 16:08:48.273,0.00,0.30,9.30,9.30,A:0;3;93;93
2026-05-18 16:08:48.760,-0.50,0.70,8.90,8.90,A:-5;7;89;89
2026-05-18 16:08:49.252,-2.30,-0.40,9.10,9.40,A:-23;-4;91;94
2026-05-18 16:08:49.788,-2.90,-0.30,8.60,9.10,A:-29;-3;86;91
2026-05-18 16:08:50.276,-0.70,0.40,9.80,9.90,A:-7;4;98;99
2026-05-18 16:08:50.762,0.90,-0.10,9.30,9.40,A:9;-1;93;94
2026-05-18 16:08:51.251,1.10,0.00,9.40,9.50,A:11;0;94;95
2026-05-18 16:08:51.785,1.00,0.00,9.40,9.40,A:10;0;94;94
2026-05-18 16:08:52.273,0.90,0.10,9.30,9.40,A:9;1;93;94
2026-05-18 16:08:52.761,1.00,-0.10,9.40,9.40,A:10;-1;94;94
2026-05-18 16:08:53.240,1.00,0.00,9.40,9.40,A:10;0;94;94
